id,num_read,num_write,read_write_ratio,mean_key_size,mean_value_size,std_key_size,std_value_size,var_key_size,var_value_size,max_cpu_usage,max_memory_usage
57,4946,4945,1.0002022244691608,127.41516683518705,122.14014155712842,71.80442843627223,71.96926860377167,5155.875943059741,5179.575623361835,6.692474226804124,29.93359375
58,3414,379,9.007915567282321,120.12401055408971,128.79683377308706,72.96899340601952,72.25552387665061,5324.473998687719,5220.860730689226,3.620051413881748,26.59375
59,189,1698,0.11130742049469965,127.34628975265018,126.43816254416961,71.042918554481,70.82681995478109,5047.096276738622,5016.438424906975,6.663536895674301,27.296875
60,5306,589,9.00848896434635,124.93548387096774,128.45670628183362,72.39707153362436,72.17675000659092,5241.335966644722,5209.483241513923,4.565808080808081,26.6875
61,55,496,0.11088709677419355,127.73790322580645,124.47983870967742,72.68201015964804,71.61972808721815,5282.674600847182,5129.385451287064,3.308698979591837,26.65234375
62,246,2215,0.11106094808126411,125.06591422121896,125.1941309255079,70.83651157073062,72.56318470154011,5017.811371510254,5265.415774029824,6.778508997429306,28.66796875
63,585,5264,0.11113221884498481,127.03343465045593,125.59289513677811,72.36518861691025,71.80507870751684,5236.720523560995,5155.9693281926875,5.565938303341903,29.9375
64,983,8850,0.11107344632768362,126.58384180790961,125.84011299435028,72.36227954928157,72.05738534442212,5236.299501568373,5192.26678267454,6.866282722513089,31.48046875
65,8255,917,9.00218102508179,119.33478735005453,123.68702290076335,71.81601173689785,71.91166323745395,5157.53954179425,5171.2873095769855,5.086025641025641,26.96875
66,459,4130,0.11113801452784504,126.3547215496368,126.44019370460049,72.1403756116881,72.93028372557464,5204.233793395442,5318.826284292816,6.721424802110818,29.6796875
67,4730,525,9.00952380952381,122.02857142857142,124.84952380952382,71.45182772982359,76.65730113642732,5105.363685932388,5876.341817520902,7.708877805486285,26.77734375
68,2944,2943,1.000339789330615,127.10839279646619,125.82330954808019,72.36678711392183,72.39994882873046,5236.951877191682,5241.752590402788,17.298539325842697,29.12109375
69,3369,374,9.008021390374331,120.52941176470588,129.35828877005346,69.93047440559366,70.62102895058746,4890.27125059139,4987.329730039713,6.675461346633417,26.6015625
70,4951,4951,1.0,126.07695415067663,125.55140375681681,71.87628495886946,71.8178485282105,5166.200339488604,5157.803367220988,6.4721784776902895,29.79296875
71,1956,217,9.013824884792626,118.91244239631337,128.963133640553,75.48047749821761,75.35464623135957,5697.302483358935,5678.322708653353,5.689140625,26.6328125
72,3276,3276,1.0,125.23870573870573,124.23595848595849,73.68184408122445,71.69537467187521,5429.014147209872,5140.226749340566,7.191234567901235,29.359375
73,873,873,1.0,126.19243986254295,129.7422680412371,71.80009894724256,73.69162290960843,5155.254208833822,5430.455287051925,6.190182291666667,26.9921875
74,8348,927,9.005393743257821,123.87810140237325,124.47141316073355,73.55780572741733,73.35165597728447,5410.750783432471,5380.465434609891,39.39601449275362,26.88671875
75,1000,8996,0.11116051578479325,126.50455758114718,126.23121387283237,71.94284898502544,72.08866990402797,5175.773520082176,5196.776328531908,24.53090322580645,31.41015625
76,252,2272,0.11091549295774648,126.06470070422536,125.81822183098592,72.35930787348478,73.95912662480247,5235.869435929757,5469.952411103565,6.337176781002639,28.68359375
77,4786,532,8.996240601503759,126.89661654135338,123.38345864661655,70.89302986504318,72.98932892152443,5025.821683445903,5327.442136414483,5.997305699481865,26.83203125
78,132,1191,0.11083123425692695,127.25776658270361,126.76910159529807,71.57875057702054,72.56812217090007,5123.517534167319,5266.132355410678,9.335660847880298,27.07421875
